inicio,fim,diff
732947,732947,-589.0
732940,732946,4136.0
732939,732939,-357.0
732937,732938,2904.0
732933,732936,-92.0
732932,732932,1025.0
732931,732931,-39.0
732930,732930,1261.0
732929,732929,-1901.0
732925,732925,156.0
732924,732924,-835.0
732917,732923,3588.0
732916,732916,-1427.0
732905,732915,5054.0
732897,732904,4672.0
732894,732896,2392.0
732891,732891,-1851.0
732889,732890,510.0
732888,732888,-419.0
732887,732887,1648.0
732883,732884,1134.0
732882,732882,204.0
732881,732881,-2241.0
732880,732880,594.0
732877,732877,-682.0
732876,732876,569.0
732875,732875,-104.0
732874,732874,284.0
732873,732873,-270.0
732868,732870,1738.0
732867,732867,-561.0
732862,732863,748.0
732861,732861,-2.0
732856,732860,1546.0
732855,732855,-7.0
732854,732854,291.0
732849,732853,412.0
732848,732848,627.0
732846,732847,-529.0
732840,732845,2904.0
732839,732839,-979.0
732835,732838,738.0
732831,732833,-850.0
732828,732828,1152.0
732827,732827,-268.0
732826,732826,822.0
732825,732825,-408.0
732821,732824,1581.0
732818,732820,-669.0
732814,732817,790.0
732813,732813,-110.0
732811,732812,1227.0
732810,732810,-399.0
732807,732807,667.0
732806,732806,-1063.0
732804,732805,1025.0
732803,732803,-309.0
732798,732800,1643.0
732796,732796,-266.0
732793,732793,163.0
732792,732792,-610.0
732791,732791,604.0
732789,732790,156.0
732785,732786,702.0
732783,732784,118.0
732778,732782,1981.0
732777,732777,-234.0
732769,732776,1567.0
732768,732768,-208.0
732764,732765,1312.0
732762,732763,-281.0
732758,732761,220.0
732757,732757,-207.0
732754,732756,2898.0
732750,732751,-537.0
732749,732749,539.0
732748,732748,-1500.0
732743,732747,1577.0
732742,732742,-557.0
732741,732741,2026.0
732736,732740,326.0
732735,732735,742.0
732734,732734,-3045.0
732733,732733,186.0
732730,732730,-436.0
732728,732729,596.0
732722,732723,-65.0
732720,732721,2063.0
732716,732719,259.0
732715,732715,307.0
732714,732714,-764.0
732706,732713,1775.0
732702,732705,-566.0
732695,732700,2211.0
732694,732694,-263.0
732693,732693,109.0
732691,732692,-116.0
732686,732688,1095.0
732685,732685,-824.0
732684,732684,581.0
732679,732681,-418.0
732678,732678,907.0
732673,732673,-52.0
732671,732672,1171.0
732665,732667,181.0
732664,732664,552.0
732660,732663,72.0
732658,732659,723.0
732657,732657,-279.0
732653,732656,397.0
732651,732652,-126.0
732649,732650,1830.0
732645,732646,-564.0
732643,732644,1057.0
732639,732642,-530.0
732636,732638,1032.0
732631,732632,-1.0
732629,732629,684.0
732624,732628,496.0
732623,732623,292.0
732622,732622,-199.0
732615,732621,2329.0
732611,732614,-115.0
732607,732610,1002.0
732604,732604,-276.0
732603,732603,325.0
732601,732602,116.0
732597,732600,899.0
732595,732595,-330.0
732593,732594,720.0
732590,732590,-36.0
732588,732589,1535.0
732587,732587,-619.0
732586,732586,608.0
732583,732583,-37.0
732579,732582,1687.0
732573,732576,1622.0
